curriculum_scenario_id,document_id,item_number,category,subcategory,scenario_text,question_prompt,source_page,extraction_method,created_at
sjt-sex-085,curriculum-f95c3e525005,85,Sex,Stalking - Any Behavior Rooted in Sexual Desires Intended to Intimidate,"After an incident where a female service member was intimidated by a male colleague, you
decide a training seminar on respect and tolerance may be beneficial for the unit.",Your next course of action:,18,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-087,curriculum-f95c3e525005,87,Sex,Stalking - Any Behavior Rooted in Sexual Desires Intended to Intimidate,"A female ES comes to you because her commanding office told her that he will not give her a
positive performance evaluation unless she is willing to participate in a sex act with him.",Your next course of action would be to:,18,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-088,curriculum-f95c3e525005,88,Sex,Sexual Contact,"A female officer comes to your office seeking your help. She tells you a male officer came
behind her and grabbed her by the waist. He then asks if her if she wanted to ""Do it doggy style'.
The female tells you she slapped the male officer in his face and came directly to see you.",Your next course of action would be to:,19,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-089,curriculum-f95c3e525005,89,Sex,Sexual Contact,"A female E3 comes to see you in your office. She tells you that while walking home last
night, a group of males surrounded her, and one of the males stated ""Let's gang bang her'. She
tells you the males then began bumping into her while making moaning sounds. She says that
they then walked away, laughing hysterically. She tells you she isn't hurt but she is tired of being
disrespected at this installation.","Of the following, the most important question to ask the female E3 is to:",19,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-090,curriculum-f95c3e525005,90,Sex,Sexual Contact,"While on duty, a female service member began to give a male member of her unit a lap
dance. The male tells you that once he realized what she was trying to do, he quickly stood up
and pushed her away and told her to stop. He tells you that he wanted to tell you about the
incident to be protected from any possible rumors or lies about the story in the future.",Your next course of action is to:,19,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-091,curriculum-f95c3e525005,91,Sex,Sexual Contact,"A male service member exposed his genitalia to some of the members of his unit at a bar
after work. The next day at work he apologized to the unit members and told you about the
incident. He tells you that he had never been that drunk before and promises that he will never
get that drunk again. Two months later a female member of the unit comes to see you about the
incident. She tells you that she is still bothered by the incident.",Your next course of action would be to:,19,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-093,curriculum-f95c3e525005,93,Sex,Sexual Contact,"You are assisting in the investigation of a complaint where a male service member is accused
of exposing his genitalia one night while guarding his post. He tells you that it was a slow night
and he was bored. He admits he was wrong but says that he didn't realize it would be a big deal.",Your next course of action is to:,20,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-094,curriculum-f95c3e525005,94,Sex,Sexual Contact,"A female E2 comes to see you in tears. She tells you that while walking home last night, a
group of males surrounded her. One of the males stated ""Let's gang bang her"". She tells you the
males then began bumping into her while making moaning sounds. She says that they walked
away, laughing hysterically. She tells you she isn't physically hurt but she is still shaken up by
the incident and she is scared that something worse can happen.","Of the following, the most important course of action is to:",20,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-096,curriculum-f95c3e525005,96,Sex,Sexual Contact,"A female commanding officer repeatedly inappropriately touches a male E3 from another
unit. He reports that he is not attracted to her but he doesn't want to damage his career. He
comes to you for advice.",Your next course of action is to:,20,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-097,curriculum-f95c3e525005,97,Sex,Sexual Contact,"A male service member asked a female service member if she is a natural red head. When
she replied yes, he said ""Why don't you prove it?"" Then he pushed her against a wall and
grabbed her belt buckle. Someone came into the room and he walked away. She comes to see
you right away.",Your next course of action is to:,20,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-098,curriculum-f95c3e525005,98,Sex,Sexual Contact,"A female comes to you and shares with you that one month ago she was raped by a member
of her unit. She tells you that the incident has been reported and that the unit member is
prosecuted but she still is having a hard time coping with the situation.",Your next course of action is to:,21,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-099,curriculum-f95c3e525005,99,Sex,Sexual Contact,"A female E4 asked a male E4 if he was a natural red head. When he replied yes, he said ""Do
you want me to prove it?"" She said no, but he pushed her against a wall and said ""you know you
want it"". Another male from the unit came into the room and the male E4 let the female go. She
is frightened and comes to see you right away. She tells you that he has never acted like this
before and she doesn't know what to do.","Of the following, the best course of action is to:",21,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-100,curriculum-f95c3e525005,100,Sex,Sexual Contact,"A male officer's car is vandalized. Eggs were thrown all over the vehicle, and 'liar' was
spray painted on the hood. He tells you that he suspects his ex-girlfriend, who is also in the
military, has vandalized his car. He tells you he needs some advice since he doesn't want to get
her into trouble.","Of the following, the best course of action is to:",21,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-001,curriculum-f95c3e525005,1,Race,Offensive Labels or Language - Use of Epithets and Slurs,"You are making an inquiry into a complaint made by a White male that a Black male called
him a ""cracker"". You are interviewing the Black male who claims that he was just angry about
failing the mission and he just took his anger out on the first person that stepped into his way. He
says he didn't mean to offend the White male and he is willing to apologize to him.",Your next course of action would be to:,22,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-003,curriculum-f95c3e525005,3,Race,Offensive Labels or Language - Use of Epithets and Slurs,"After overhearing one of your unit members repeatedly call another member of the unit a
""redneck hillbilly"", you decide to plan a training session on the use of inappropriate and
offensive language.","Of the following, your first course of action is to:",22,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-004,curriculum-f95c3e525005,4,Race,Offensive Labels or Language - Use of Epithets and Slurs,"You are making an inquiry into a complaint from a White male that a Black male referred to
him as ""Massa"" (master). In your interview with the Black male, he admits to calling the While
male ""Massa"" because he acts like every one has to obey him.",Your next course of action would be to:,22,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-005,curriculum-f95c3e525005,5,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"A Native American service member comes to you because he is angry because his
commanding officer frequently makes comments about his ethnicity. He tells you most recently
the commanding officer stated, ""I am surprised you are not an alcoholic like the rest of those
Indians. You should hurry back to your reservation and build another casino."" The Native
American service member is fed up with the comments and is ready to file a formal complaint.",Your next course of action would be to:,22,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-007,curriculum-f95c3e525005,7,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"During a training session, you ask participants to share their honest opinions of cultures
outside of the U.S. One unit member shares, ""Those Africans are barbarians! They are literally
killing themselves! That is one culture that I will not be sad to see gone.""","Of the following, the best course of action is to:",23,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-008,curriculum-f95c3e525005,8,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"A Black male E3 claims a male officer in his unit called him a 'jungle bunny' after blaming
him for the unit's failure during a field exercise. He approaches you and explains what has
happened.",Your next course of action would be to:,23,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-009,curriculum-f95c3e525005,9,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"A White male officer comes to you for advice. He tells you Black male officer in his unit
frequently calls him a ""dumb hick'. He tells you it started out as a joke, but now he says it all
the time. He tells you, ""If I called him a name, I know he would file a complaint on me, and
because I am a White I would be a considered a racist. It isn't fair that he can say whatever he
wants because she is Black.""",Your next course of action would be to:,23,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-010,curriculum-f95c3e525005,10,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"You overhear an Asian male and a Black male arguing about the issue of reparations for
slavery. You hear the Asian male comment, ""You could never give Black people reparations for
slavery, you would waste it on boose, drugs, cars, and jewelry!""",Your next course of action would be to:,23,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-011,curriculum-f95c3e525005,11,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"An Asian man comes to see you. He tells you that he invited a few of the members of his
over to his house for dinner. He tells you they declined his offer and commented that they don't
want to eat dog or cat. He tells you he asked them what they meant by the comment and they
responded that ""Asians are known for eating people's pets for dinner"".","Of the following, the most important question to ask the Asian male is:",24,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-013,curriculum-f95c3e525005,13,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"At a Black history month celebration, a black male commented that the only way black
people can get rich in America is by playing basketball, rapping, or selling drugs. You approach
the male about his comment and he defensively tells you that he is entitled to his opinion on the
issue.",Your next course of action would be to:,24,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-014,curriculum-f95c3e525005,14,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"One of the remarks submitted on a climate assessment survey is that ""real soldiers should
NOT have to waste their time filling out these pointless surveys. We should be focusing on
fixing real problems, like getting affirmative action policies out of the military.""",Your next course of action would be to:,24,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-015,curriculum-f95c3e525005,15,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"A Hispanic officer comes to you and reports that there has been several new personnel added
to his unit recently. He tells you that one of the new personnel, a White male, approached him
and said, ""Your Mexican right? Can you give me some advice about taking care of my lawn?""
The Hispanic officer tells you that the White male is a bigot and he suspects that the other new
personnel may share his offensive views.","Of the following, the most important course of action would be to:",24,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-016,curriculum-f95c3e525005,16,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"During an Italian-American History celebration, a female officer states that it is a waste of
time to have all of these cultural celebrations. She further states that she can learn all she needs
to know about Italians by watching a Mafia movie and eating pizza.",Your next course of action would be to:,25,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-017,curriculum-f95c3e525005,17,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"During a German-American History celebration, a female officer states ""how can we
celebrate the people responsible for the Holocaust. They are monsters.""",Your next course of action would be to:,25,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-018,curriculum-f95c3e525005,18,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"Two Black female officers come to see you. They tell you that they have been overhearing a
lot of offensive comments around the installation lately about Blacks females. They say that
comments have been stereotyping Black females as unmarried, with several kids, all by different
fathers. The Black officers want this to be addressed.","Of the following, the best course of action would be to:",25,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-019,curriculum-f95c3e525005,19,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"A Black male tells you that he brought in pictures of his children at the playground. His
supervising officer commented, ""How many baby mamas do you have? You have three kids, so
I'm guessing you have three baby mamas."" He tells you that he informed the supervising officer
that he is married and his wife is the mother of all of his children. It is a week later and the Black
male tells you he is still angered by the comment but he doesn't know what he should do.",Your next course of action would be to:,25,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-020,curriculum-f95c3e525005,20,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"An Asian male brought his 5 year old son's class pictures in to work. After seeing the
pictures, his male supervising officer said, ""Your son is getting big. I bet its time to get him
trained in some kung fu!"" The supervising officer then pretended to do some kung fu moves. The
Asian male is annoyed by the comment, but is afraid to say something since it is his supervising
officer.",Your next course of action would be to:,25,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-021,curriculum-f95c3e525005,21,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"You receive an email nominating members of your unit for various awards. You realize the
email is a hoax as your read the awards. Most of the awards are not offensive, and are clearly
intended to be jokes. One award, however, nominated a Black male in the unit for 'Largest Penis
in the office'.","Of the following, the best course of action is:",26,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-023,curriculum-f95c3e525005,23,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"After a league football game, one of the members of your unit remarks, ""I can run so fast!
We won the game because of me and I'm not even Black!""",Your next course of action would be to:,26,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-024,curriculum-f95c3e525005,24,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"At the gym, a male officer is wearing a shirt that says ""It's all relative in West Virginia"". A
West Virginian female tells you that she finds the shirt to be offensive and wants something to be
done.","Of the following, the most important course of action is to:",26,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-025,curriculum-f95c3e525005,25,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"At the gym, a male officer is wearing a shirt which displays a confederate flag. A female
officer tells you that she finds the shirt offensive and wants something to be done.","Of the following, the most important course of action is to:",26,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-027,curriculum-f95c3e525005,27,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"One day in the dining facility, a Hispanic male asked a White male ""So what is it like to be
high on those club drugs like ecstasy, mushrooms, or acid?"" The White male responded that he
never used drugs before and asked why he would ask him a question like that. The Hispanic male
responded, ""You know you white boys are into all those crazy drugs."" The White male comes to
you because he is offended by the insinuation of being a drug user.",Your next course of action would be to:,27,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-028,curriculum-f95c3e525005,28,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"A Jamaican-American officer comes to you and tells you that his supervising officer accused
him of smoking weed while off duty. The Jamaican-American officer tells you that the
accusation is because he is Jamaican and he is tired of the supervising officer's stereotypes.","Of the following, the best course of action is to:",27,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-029,curriculum-f95c3e525005,29,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"A Mexican-American officer comes to you and shares that recently while at the dining
facility, another male officer asked him to clean his table. When the Mexican-American officer
asked him to repeat himself, the male officer responded ""oh, I thought you were the bus boy."" He
tells you then the male officer chuckled. The Mexican-American officer tells you that he knows
the male officer was trying to embarrass him and he wants something to be done.",Your next course of action would be to:,27,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-030,curriculum-f95c3e525005,30,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"During a climate assessment focus group, a Black officer tells the group about a conversation
he recently overheard in the dining facility. A group of White males were talking about a recent
basketball game. One of the males at the table commented ""Blacks are taking over all sports! All
Black guys should play a professional sport."" Another male at the table then commented, ""We
sure don't need them here in the military"".","Of the following, the most important course of action is:",27,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-031,curriculum-f95c3e525005,31,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"You have administered a climate assessment survey to a unit. The following comment was
written: The other members of my unit are always making comments about our commander
because he is Black. They are always making comments like ""He is only the commander because
of affirmative action.""","Of the following, the most important course of action is to:",28,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-032,curriculum-f95c3e525005,32,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"A Black officer frequently makes the comment that ""the white man's favorite past time is
serial killing."" When confronted about the comments, he contends she is not being racist, and
that his comments are statistically supported.",Your next course of action would be to:,28,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-033,curriculum-f95c3e525005,33,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"A Hispanic officer complains to you that members from his unit are always forwarding
inappropriate emails to him. He tells you that the most recently he received an email joking
about the extents Cuban and Haitian refugees use to try and enter the USA. He shares that his
mother is a Cuban refugee and he is offended and wants the emails to stop",Your next course of action would be to:,28,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-034,curriculum-f95c3e525005,34,Race,Offensive Beliefs or Attitudes - Use of Stereotypical Beliefs,"You have administered a climate assessment survey to a unit. The following comment was
written: ""I'm tired of these immigrants in the military complaining, if they don't like it here they
should pack up their shit and go the hell back where you came from.""",Your next course of action would be to:,28,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-035,curriculum-f95c3e525005,35,Race,Inappropriate Message Content - Inappropriate Jokes or Comments,"While walking in the hallway, you see a Black male and a Hispanic male in the midst of a
heated argument. As you approach the males, you hear the Hispanic male say ""Click your heels
three times and go back to Africa, monkey.""",Your next course of action would be to:,29,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-036,curriculum-f95c3e525005,36,Race,military's EO policy,"A Hispanic female tells you that a member of unit commented that they are in favor of
immigration because if we didn't let immigrants in the country, who would cut our grass, or
clean our buildings, or make our food. She tells you that she feels this is offensive and that this
viewpoint may be shared by other members of the unit.","Of the following, the most important question to ask the Hispanic female is:",29,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-037,curriculum-f95c3e525005,37,Race,military's EO policy,"Your unit is deployed to a very poor area in Eastern Europe. You overhear the following
comment being made to a White member of your unit: ""You must be used to living around all
this white trash!"" You immediately inform the unit member who made the joke that it was
inappropriate and offensive.","Of the following, the most important course of action is:",29,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-038,curriculum-f95c3e525005,38,Race,military's EO policy,"You overhear a male officer say ""All those people need is a bucket of chicken, some malt
liquor, and some watermelon,"" to a group of his colleagues in the dining facility. When you
asked the male officer what he was talking about, he said he wasn't talking about anything and
he left the room. The group of colleagues he was also talking with followed him out.","Of the following, the best course of action is to:",29,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-040,curriculum-f95c3e525005,40,Race,military's EO policy,"While deployed, a female officer in your unit shares that other personnel within the unit have
been making offensive comments to her since the unit has arrived in Afghanistan. She tells you
that the unit members keep insinuating that she must be comfortable in these conditions since she
is from the mountains of West Virginia. She tells you they have been making other comments,
for example, ""I can't believe you have all your teeth! Are you married to your cousin? Did you
have sex with your brother growing up? What's it like to finally have running water?"" She tells
you it is extremely stressful to be deployed and she doesn't know how much longer she can take
their comments before she loses her cool.",Your next course of action would be to:,30,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-041,curriculum-f95c3e525005,41,Race,military's EO policy,"During a diversity awareness training session, a male E3 shares his opinions on AIDS in
Africa. He comments that in his opinion, they are getting what they deserve. They are barbarians
killing themselves--so let AIDs wipe out the continent. We have more important issues to focus
on.""","Of the following, the most important course of action is to:",30,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-043,curriculum-f95c3e525005,43,Race,Anonymous Threats - Physical or Psychological Threats from Unknown Source,"An Asian officer calls you and asks for your help. He tells you that his girlfriend is a White
officer who works at the installation. He tells you that for the past two weeks he and his
girlfriend have received several anonymous notes. He tells you that the notes started after they
started dating and are coming more frequently.",Your next course of action would be to:,30,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-044,curriculum-f95c3e525005,44,Race,Anonymous Threats - Physical or Psychological Threats from Unknown Source,"A Black E3 tells you that he has recently joined a new unit. He tells you that since he has
joined the unit he has not had any problems with his fellow unit members. He also tells you that
he received a note in his equipment bag that said ""You are not welcome here, get lost, or else.""
He tells you that only the members of his unit had access to his equipment bag, but he does not
know who would have put that note in his bag.","Of the following, the next question to ask the Black E3 is:",30,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-046,curriculum-f95c3e525005,46,Race,Direct Threats - Physical or Psychological Threats from Known Source,"An Irish-American man comes to your office and is very upset. He tells you that a member of
his unit threatened to beat him up. He tells you that this unit member is always starting trouble
with him. He tells you the unit member calls him a leprechaun and tells him to go find his lucky
charms. He states that he is alerting you of the situation now in case anything happens in the
future.","Your next course of action would be to:
o. Ask the Irish-American man what he would like you to do",31,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-047,curriculum-f95c3e525005,47,Race,Direct Threats - Physical or Psychological Threats from Known Source,"An Italian-American male comes to your office and is very upset. He tells you that three
Black males have threatened to beat him up. He tells you that these males have it out for him but
he tells you that he doesn't know why. He tells you that he assumes it is because he is White and
they are Black. He states that he is alerting you of the situation now in case anything happens in
the future.",Your next course of action would be to:,31,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-048,curriculum-f95c3e525005,48,Race,Direct Threats - Physical or Psychological Threats from Known Source,"Two White females come to your office. They tell you that a group of Hispanic females are
trying to intimidate them. They tell you the Hispanic females have called them ""White bitches""
on numerous occasions. The White females tell you that these women are trying to scare them
and they are not sure what the Hispanic females are capable of doing.",Your next course of action would be to:,31,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-049,curriculum-f95c3e525005,49,Race,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","Climate assessment results show that racial profiling may be a problem at your installation.
Minority personnel report being frequently stopped by military security while driving on base,
even when going below the speed limit.",Your next course of action would be to:,32,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-050,curriculum-f95c3e525005,50,Race,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","You have been investigating a complaint made by a White male that his Black supervising
officer treats the White personnel differently from the minority personnel. Your interviews with
different members of the unit do not support the White male's claim and your review of the
assignment and punishment records don't indicate any preferential treatment.","Your next course of action would be to:
Of the following, the assistance you would volunteer to provide the investigating officer",32,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-054,curriculum-f95c3e525005,54,Race,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","A Hispanic-American male claims that he is receiving unfair treatment because he has a thick
accent. He tells you his commander repeatedly gets annoyed with him and states that he has
trouble understanding what he is trying to say. He tells you the commander has stated that he
does not have time to figure out what the Hispanic-American male is trying to say.",Your next course of action would be to:,32,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-055,curriculum-f95c3e525005,55,Race,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","Climate assessment results show that racial profiling is a problem at the installation. The
comments state that service members that have a Middle Eastern appearance are frequently
stopped or followed while walking, driving, or shopping at the installation. You","Of the following, the most important course of action is to:",33,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-056,curriculum-f95c3e525005,56,Race,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","An Irish-American officer approaches you after a Native American history month
celebration. He tells you that he would like you to coordinate an event in celebration of Irish
culture and history. He says there are many Irish personnel on the installation and they would
really enjoy the celebration.",Your next course of action would be to:,33,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-057,curriculum-f95c3e525005,57,Race,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","A White male calls you and tells you that he wants to file a complaint. He tells you that he is
qualified but he is being passed over for promotions time and time again. He tells you that he
believes he is being overlooked because he is White and that all the quotas for minorities are
keeping him from being successful. He asks you how to go about filing the complaint.",Your next course of action would be to:,33,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-058,curriculum-f95c3e525005,58,Race,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","You have administered a climate assessment survey to a unit. The following comment was
written: ""Lately the military is creating way too many programs that cater to minorities and
women. It's just not fair! We are wasting resources!""","Of the following, the most important course of action is to:",33,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-060,curriculum-f95c3e525005,60,Race,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","A Black officer comes to your office. He is very angry and frustrated. He explains to you
that he believes that he was passed over for a promotion on the basis of race. He tells you that he
and a White male officer were applying for the same position. The Black male tells you he has
been in the military longer than the White male and has accomplished more in his time in the
military than the White officer. He further tells you that the officers who played a role in the
final decision making process were all white and the only reason the White male received the
promotion over him is because he is White.","Of the following, your most important course of action is to:",33,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-062,curriculum-f95c3e525005,62,Race,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","You have administered a climate assessment survey to a unit. The following comment was
written: ""What is the protocol for deciding which units are deployed? At this installation units
with higher numbers of minority personnel, and units with minority commanding officers are
deployed most often and for longest the periods of time"".",Your next course of action would be to:,34,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-063,curriculum-f95c3e525005,63,Race,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","You are conducting a unit inspection. After analyzing the unit's performance records, you
notice that minority unit members, on average, have much lower performance ratings than the
other unit members.","Of the following, the most important course of action is to:",34,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-064,curriculum-f95c3e525005,64,Race,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","A Native American male comes to your office. He tells you that he has observed that housing
at the installation seems to be unfairly segregated. He tells you that it seems that minorities at the
installation are always assigned to the older housing accommodations. He asks you to look into
the situation.",Your next course of action would be to:,34,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-065,curriculum-f95c3e525005,65,Race,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","A White E4 comes to your office to see you. He tells you that he wants to take advantage of
some of the development programs offered to minorities at the installation. He tells you that the
special attention the minority personnel receive should also be available to the White personnel.","Of the following, the most important question to ask the White E4 is:",35,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-066,curriculum-f95c3e525005,66,Race,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","A Black E3 alleges that his supervisor reprimands him whenever he is late, but that the other
service members in the unit are not reprimanded for being late. He tells you that he suspects he is
reprimanded because he is Black and the other service members in his unit are White.",Your next course of action would be to:,35,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-067,curriculum-f95c3e525005,67,Race,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","An investigating officer is making an inquiry into a formal complaint brought by a group of
Indian service members who claim that their performance ratings are unjustly lower than the
other members of their unit. The Indian service members claim that they are being unfairly rated
because of their ethnic background.","Of the following, the assistance you would volunteer to provide the investigating officer
first is:",35,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-068,curriculum-f95c3e525005,68,Race,"Violation of Work Place Policy or Regulations - Posting Offensive Material, etc.","You are informed that a White male has posted a placard in his cubicle that says ""Proud son
of a confederate soldier"" with the Confederate flag in the background. Some members of the
White male's unit tell you that they are uncomfortable with the posting.",Your next course of action would be to:,35,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-069,curriculum-f95c3e525005,69,Race,"Violation of Work Place Policy or Regulations - Posting Offensive Material, etc.","You receive an anonymous tip that a White male in your unit writes an underground anti-
immigration newsletter. The anonymous tip tells you that the newsletter is composed of
derogatory articles that target several racial groups. You speak with the White male about the
newsletter and he confirms that he is writing the newsletter and claims that he is entitled to free
speech.",Your next course of action would be to:,35,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-071,curriculum-f95c3e525005,71,Race,"Violation of Work Place Policy or Regulations - Posting Offensive Material, etc.","You are following up on an issue where a Black male felt uncomfortable with a White male
in his unit because the White male has a tattoo of the confederate flag on his upper arm. The
Black tells you that normally he does not even see the tattoo, but he feels that the White male
must be a racist to have the tattoo. The two men participated in an informal conflict resolution","which you mediated.
OF the following, the most important course of action is:",36,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-072,curriculum-f95c3e525005,72,Race,Language Issues,"During a climate assessment focus group, you learn that one of the special operation units at
the installation openly does not welcome Hispanic-Americans into their unit. The focus group
reports that the special operations unit does not trust them, especially if they speak Spanish in
front of them.","Of the following, the best course of action is to:",36,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-073,curriculum-f95c3e525005,73,Race,EO professional,"Two males of Middle Eastern descent were speaking with each other in Arabic and laughing
when their supervising officer came along and told them to speak in English because they were
on duty. The two officers are angered because the commanding officer never tells the Hispanic
officers that they can not speak Spanish while on duty. The two male come to see you in your
office.",Your next course of action would be to:,36,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-race-074,curriculum-f95c3e525005,74,Race,EO professional,"A Hispanic male has come to you to report that he and a Hispanic female were having a
personal conversation in Spanish when their supervising officer ordered them to speak in
English. The Hispanic male claims the supervising officer said: ""For the rest of the time you are
in this unit you will speak English. I don't speak Spanish and I don't want you two talking about
me behind my back"".",Your next course of action is to:,37,tesseract_ocr,2026-05-07T18:39:09.770Z
